seed,initial_x,reward,duration,loss
726216177,-0.5169646143913269,-200.0,200,6.895138540130574e-09
908793517,-0.46137866377830505,-200.0,200,6.388470410456649e-08
45731334,-0.5575116872787476,-200.0,200,1.256206771813595e-05
590921644,-0.5327638983726501,-200.0,200,7.033346855678247e-07
460289067,-0.5016988515853882,-200.0,200,5.252673608993064e-06
1269921670,-0.45030590891838074,-200.0,200,1.724274502521439e-06
790021068,-0.5401381850242615,-200.0,200,1.2663755192079408e-05
1014143662,-0.4548214077949524,-200.0,200,4.547779080894543e-06
442769226,-0.5084407329559326,-200.0,200,1.3608439453491882e-05
682134956,-0.5575730800628662,-200.0,200,4.4775180867873133e-07
51648591,-0.5669224262237549,-200.0,200,7.009980436123442e-08
978342577,-0.5777841806411743,-200.0,200,1.4063694165997732e-05
1141369555,-0.5482349991798401,-200.0,200,2.4898512356230638e-06
1683321023,-0.5222862958908081,-200.0,200,1.651391721679829e-07
170786947,-0.5732989311218262,-200.0,200,2.1875499164707435e-05
2074962590,-0.5961061716079712,-200.0,200,1.5297129948521616e-06
1092208806,-0.41322070360183716,-200.0,200,1.7895026758196764e-08
1126034280,-0.5089367032051086,-200.0,200,8.600090950494632e-08
