seed,initial_x,reward,duration,q_update
1975121426,-0.5369724035263062,-189.0,189,-96.03267218801436
1062674463,-0.49024873971939087,-200.0,200,-117.72848596429654
1755110443,-0.5215364694595337,-200.0,200,-69.51854377738213
1741796182,-0.48546257615089417,-160.0,160,-34.895544838946684
1038368980,-0.44195687770843506,-162.0,162,-49.69567841246051
1503633052,-0.4466734826564789,-159.0,159,-57.18938204737838
202436331,-0.54367595911026,-193.0,193,-49.170072467243536
1941490792,-0.5765535235404968,-195.0,195,-64.39486215153022
1232749654,-0.4041001498699188,-162.0,162,-55.23084043740983
962053749,-0.5180363059043884,-174.0,174,-53.205366694712296
931358965,-0.4024694561958313,-200.0,200,-101.03602335200873
1703958987,-0.5162568688392639,-198.0,198,-63.05113803786786
